Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
empty_tensor,,,5.8,5.8,0,0,0,0
aten::copy_,,,696.15,696.15,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,2.09,2.09,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.72,1.72,0,0,0,0
aten::to,,,2.85,68.08,0,0,0,0
aten::_to_copy,,,6.76,65.23,0,0,0,0
aten::empty_strided,,,10.74,17.24,0,0,0,0
empty_tensor,,,6.5,6.5,0,0,0,0
aten::copy_,,,41.23,41.23,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.84,1.84,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,0.84,0.84,0,0,0,0
aten::to,,,2.62,71.75,0,0,0,0
aten::_to_copy,,,6.46,69.13,0,0,0,0
aten::empty_strided,,,9.87,15.74,0,0,0,0
empty_tensor,,,5.87,5.87,0,0,0,0
aten::copy_,,,46.93,46.93,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.58,1.58,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.17,1.17,0,0,0,0
aten::to,,,2.45,66.31,0,0,0,0
aten::_to_copy,,,6.34,63.86,0,0,0,0
aten::empty_strided,,,10.58,15.83,0,0,0,0
empty_tensor,,,5.25,5.25,0,0,0,0
aten::copy_,,,41.69,41.69,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.37,1.37,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,0.92,0.92,0,0,0,0
aten::to,,,2.42,155.41,0,0,0,0
aten::_to_copy,,,6.57,152.99,0,0,0,0
aten::empty_strided,,,10.92,17.27,0,0,0,0
empty_tensor,,,6.35,6.35,0,0,0,0
aten::copy_,,,129.15,129.15,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.56,1.56,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,0.87,0.87,0,0,0,0
aten::to,,,2.81,66.6,0,0,0,0
aten::_to_copy,,,6.47,63.79,0,0,0,0
aten::empty_strided,,,10.03,15.21,0,0,0,0
empty_tensor,,,5.18,5.18,0,0,0,0
aten::copy_,,,42.11,42.11,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.55,1.55,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.35,1.35,0,0,0,0
aten::to,,,2.72,106.21,0,0,0,0
aten::_to_copy,,,6.35,103.49,0,0,0,0
aten::empty_strided,,,10.56,16.23,0,0,0,0
empty_tensor,,,5.67,5.67,0,0,0,0
aten::copy_,,,80.91,80.91,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.79,1.79,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.19,1.19,0,0,0,0
aten::to,,,2.55,65.43,0,0,0,0
aten::_to_copy,,,6.14,62.88,0,0,0,0
aten::empty_strided,,,10.2,15.63,0,0,0,0
