Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,aclnnInplaceCopy_TransposeAiCore_Transpose,AI_VECTOR_CORE,2,1941,21.6,1753145998177095.324	,1753145998177116.924	
0,aclnnSub_SubAiCore_Sub,AI_VECTOR_CORE,2,1942,31.221,1753145998177116.964	,1753145998177148.185	
0,aclnnNeScalar_NotEqualAiCore_NotEqual,AI_VECTOR_CORE,2,1943,28.141,1753145998178877.739	,1753145998178905.880	
0,aclnnInplaceCopy_TensorMoveAiCore_TensorMove,AI_VECTOR_CORE,2,1944,17.66,1753145998178954.981	,1753145998178972.641	
0,aclnnInplaceMaskedFillScalar_MaskedFillAiCore_MaskedFill,AI_VECTOR_CORE,2,1945,24.861,1753145998180782.677	,1753145998180807.538	
0,aclnnEqScalar_EqualAiCore_Equal,AI_VECTOR_CORE,2,1946,12.74,1753145998180877.419	,1753145998180890.159	
0,aclnnInplaceCopy_TensorMoveAiCore_TensorMove,AI_VECTOR_CORE,2,1947,10.261,1753145998180945.340	,1753145998180955.601	
0,aclnnInplaceMaskedFillScalar_MaskedFillAiCore_MaskedFill,AI_VECTOR_CORE,2,1948,15.061,1753145998180989.801	,1753145998181004.862	
0,aclnnLayerNormWithImplMode_LayerNormV3WithImplMode_LayerNormV3,AI_VECTOR_CORE,2,1949,62.582,1753145998181035.442	,1753145998181098.024	
0,aclnnConstantPadNd_PadV3AiCore_MemSet,AI_VECTOR_CORE,2,1950,12.58,1753145998181256.847	,1753145998181269.427	
0,aclnnConstantPadNd_PadV3AiCore_PadV3,MIX_AIV,2,1951,37.361,1753145998181340.888	,1753145998181378.249	
0,aclnnInplaceCopy_TransposeAiCore_Transpose,AI_VECTOR_CORE,2,1952,21.26,1753145998181403.890	,1753145998181425.150	
0,aclnnAddmm_MatMulCommon_MatMulV2,AI_CORE,2,1953,131.682,1753145998181606.814	,1753145998181738.496	
0,aclnnMuls_SliceAiCore_Slice,AI_VECTOR_CORE,2,1954,25.581,1753145998181738.516	,1753145998181764.097	
0,aclnnMuls_TransposeAiCore_Transpose,AI_VECTOR_CORE,2,1955,45.581,1753145998181764.117	,1753145998181809.698	
0,aclnnMuls_MulAiCore_Mul,AI_VECTOR_CORE,2,1956,22.1,1753145998181809.718	,1753145998181831.818	
0,aclnnMatmul_SliceAiCore_Slice,AI_VECTOR_CORE,2,1957,19.68,1753145998181854.039	,1753145998181873.719	
0,aclnnMatmul_TransposeAiCore_Transpose,AI_VECTOR_CORE,2,1958,200.784,1753145998182073.643	,1753145998182274.427	
0,aclnnMatmul_BatchMatMulNd_MemSet,AI_VECTOR_CORE,2,1959,24.06,1753145998182294.748	,1753145998182318.808	
0,aclnnMatmul_BatchMatMulNd_BatchMatMulV2,AI_CORE,2,1960,109.902,1753145998182318.848	,1753145998182428.750	
